Year	Zone	Date	Tow_number	Lat	Lon	Commercial_count	Commercial_weight	Commercial345_count	Commercial345__weight	Area_swept	Zone_date_tow	Depth	Temperature	grid	intended grid	Tow_quality	boat	primary_or_alternate	Station ID	minilog file	esonar file	Headline num	Tilt num	depth (fathoms)	females	males	total count
2015	Zone12	13/10/2015	8	46.61236	-61.54756	13	9.106627776	5	3.847098741	3258	Zone12-13/10/2015-8	60.3504	0.4	AG24	AG24	1	JM	P	286	bin6387.178	GP286F	C8054GP286F.101	H0633GP286F.007	33	32	72	104
2015	Zone12	13/10/2015	7	46.530227	-61.448913	15	10.78022398	4	3.001542786	3221	Zone12-13/10/2015-7	64.008	1.3	AF25	AG25	1	JM	P	292	bin6387.177	GP292F	C8054GP292F.100	H0633GP292F.006	35	87	43	130
2015	Zone19	13/10/2015	9	46.63344	-61.24469	12	6.788456462	3	1.612681171	3502	Zone19-13/10/2015-9	78.6384	1.8	AG26	AG26	1	JM	P	305	bin6387.179	GP305F	C8054GP305F.102	H0633GP305F.008	43	151	98	249
2015	Zone12	03/08/2015	11	46.719262	-63.193082	9	5.324238184	0	0	2142	Zone12-03/08/2015-11	45.72	-0.2	AH14	AH14	1	JM	P	128	bin6385.119	GP128F	C8049GP128F.012	H0615GP128F.066	25	2	40	42
2015	Zone12	03/08/2015	10	46.676953	-63.119128	9	4.953446759	1	0.371170615	2219	Zone12-03/08/2015-10	45.72	0.2	AH15	AH15	1	JM	P	141	bin6385.118	GP141F	C8049GP141F.011	H0615GP141F.065	25	49	52	101
2015	Zone12	03/08/2015	5	46.705002	-62.877278	12	7.362832566	1	0.445656162	2689	Zone12-03/08/2015-5	54.864	-0.4	AH16	AH16	3	JM	A1	170	bin6385.113	GP170A1	C8049GP170A1.060	H0615GP170A1.006	30	120	113	233
2015	Zone12	03/08/2015	3	46.766917	-62.6885	0	0	0	0	2812	Zone12-03/08/2015-3	54.864	-0.4	AH17	AH17	3	JM	A1	174	bin6385.111	GP174A1	C8049GP174A1.004	H0615GP174A1.058	30	1	26	27
2015	Zone12	02/08/2015	1	46.747938	-62.538717	3	2.068823186	0	0	2239	Zone12-02/08/2015-1	60.3504	-0.4	AH18	AH18	3	JM	A1	197	bin6385.097	GP197A1	C8000GP197A1.005	H0615GP197A1.044	33	46	124	170
2015	Zone12	01/08/2015	8	46.73383	-62.29806	4	2.192922208	2	1.265089661	2316	Zone12-01/08/2015-8	64.008	-0.2	AH19	AH19	1	JM	P	220	bin6385.091	GP220F	C7812GP220F.035	H0615GP220F.038	35	75	164	239
2015	Zone12	01/08/2015	7	46.665648	-62.236735	4	2.021948608	0	0	3124	Zone12-01/08/2015-7	58.5216	-0.2	AH20	AH20	1	JM	P	226	bin6385.090	GP226F	C7812GP226F.034	H0615GP226F.037	32	0	67	67
2015	Zone12	01/08/2015	3	46.733495	-61.967858	3	1.420367694	2	0.811245138	3753	Zone12-01/08/2015-3	82.296	-0.4	AH21	AH21	1	JM	P	248	bin6385.086	GP248F	C7812GP248F.029	H0615GP248F.033	45	68	42	110
2015	Zone12	02/09/2015	8	46.68327	-61.887077	2	1.663301717	0	0	2472	Zone12-02/09/2015-8	58.5216	-0.2	AH22	AH22	1	JM	P	259	bin6387.016	GP259F	C8049GP259F.141	H0661GP259F.227	32	4	49	53
2015	Zone12	12/10/2015	3	46.678182	-61.77733	7	3.717139222	1	0.509398679	2776	Zone12-12/10/2015-3	65.8368	1.6	AH23	AH23	1	JM	P	268	bin6387.163	GP268F	C8054GP268F.086	H0616GP268F.060	36	39	78	117
2015	Zone12	12/10/2015	2	46.737645	-61.604347	4	1.994024367	4	1.994024367	3910	Zone12-12/10/2015-2	73.152	0.1	AH24	AH24	1	JM	P	283	bin6387.162	GP283F	C8054GP283F.085	H0616GP283F.059	40	23	61	84
2015	Zone19	09/10/2015	10	46.734057	-61.359513	9	6.313269404	8	5.618807561	3183	Zone19-09/10/2015-10	67.6656	0.7	AH25	AH25	1	JM	P	299	bin6387.160	GP299F	C8054GP299F.083	H0616GP299F.057	37	106	77	183
2015	Zone19	14/10/2015	1	46.693002	-61.236458	24	17.55761418	16	11.91941808	3297	Zone19-14/10/2015-1	113.3856	2.3	AH26	AH26	1	JM	P	306	bin6387.180	GP306F	C8054GP306F.104	H0633GP306F.009	62	18	42	60
2015	Zone19	14/10/2015	2	46.677747	-61.026905	0	0	0	0	2879	Zone19-14/10/2015-2	40.2336	11.7	AH27	AH27	1	JM	P	319	bin6387.181	GP319F	C8054GP319F.105	H0633GP319F.010	22	1	0	1
2015	Zone12	04/08/2015	2	46.786985	-63.495952	3	1.697046738	0	0	2025	Zone12-04/08/2015-2	42.0624	0.4	AI12	AI12	1	JM	P	94	bin6385.122	GP094F	C8049GP094F.015	H0615GP094F.069	23	58	66	124
2015	Zone12	04/08/2015	1	46.786732	-63.419763	6	3.075528847	0	0	2010	Zone12-04/08/2015-1	43.8912	-0.1	AI13	AI13	1	JM	P	99	bin6385.121	GP099F	C8049GP099F.014	H0615GP099F.068	24	45	50	95
2015	Zone12	03/08/2015	12	46.840893	-63.24286	1	0.450817322	0	0	2604	Zone12-03/08/2015-12	54.864	-0.4	AI14	AI14	1	JM	P	123	bin6385.120	GP123F	C8049GP123F.013	H0615GP123F.067	30	21	59	80
2015	Zone12	02/08/2015	12	46.8799	-63.0225	2	1.007804835	1	0.389271719	3090	Zone12-02/08/2015-12	62.1792	-0.6	AI15	AI15	1	JM	P	147	bin6385.108	GP147F	C8049GP147F.001	H0615GP147F.055	34	134	156	290
2015	Zone12	03/08/2015	1	46.83236	-62.899858	2	0.874953046	2	0.874953046	2939	Zone12-03/08/2015-1	60.3504	-0.4	AI16	AI16	1	JM	P	159	bin6385.109	GP159F	C8049GP159F.002	H0615GP159F.056	33	7	97	104
